Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1444648809254907906,en,NO,YES,0,14,"",Sun Oct 03 13:01:31 +0000 2021
1444649470927331328,en,NO,NO,29,4,"",Sun Oct 03 13:04:08 +0000 2021
1444652508786438149,en,NO,YES,0,10,"",Sun Oct 03 13:16:13 +0000 2021
1444653044671471621,en,NO,YES,0,10,"",Sun Oct 03 13:18:20 +0000 2021
1444656200604213249,en,NO,YES,0,14,"",Sun Oct 03 13:30:53 +0000 2021
1444661952979083269,en,NO,YES,0,14,"",Sun Oct 03 13:53:44 +0000 2021
1444662926833451012,en,NO,YES,0,10,"",Sun Oct 03 13:57:36 +0000 2021
1444648428433149957,en,NO,NO,0,0,"",Sun Oct 03 13:00:00 +0000 2021
1444648428605255682,en,NO,NO,1,0,"",Sun Oct 03 13:00:00 +0000 2021
1444648429146152965,en,NO,NO,0,0,"",Sun Oct 03 13:00:00 +0000 2021
1444648429930500099,es,NO,NO,2,0,"",Sun Oct 03 13:00:00 +0000 2021
1444648430605778945,es,NO,NO,0,0,"",Sun Oct 03 13:00:00 +0000 2021
1444648430819844101,es,NO,NO,2,0,"",Sun Oct 03 13:00:00 +0000 2021
1444648431046193160,en,NO,NO,0,0,"",Sun Oct 03 13:00:00 +0000 2021
1444648431444582411,es,NO,NO,0,0,"",Sun Oct 03 13:00:00 +0000 2021
1444648431666876424,en,NO,NO,0,0,"",Sun Oct 03 13:00:01 +0000 2021
1444648431734059015,es,NO,NO,0,0,"",Sun Oct 03 13:00:01 +0000 2021
1444648432103219203,es,NO,YES,0,3,"",Sun Oct 03 13:00:01 +0000 2021
1444648432329580545,en,NO,YES,0,5,"",Sun Oct 03 13:00:01 +0000 2021
1444648432472186881,pt,NO,NO,0,0,"",Sun Oct 03 13:00:01 +0000 2021
1444648432652718081,de,NO,YES,0,9,"",Sun Oct 03 13:00:01 +0000 2021
1444648432916828177,en,NO,YES,0,126,"",Sun Oct 03 13:00:01 +0000 2021
