"","LanguageLong","total","Percentage"
"1","English",1587346819,64.883872167377
"2","Spanish; Castilian",292166418,11.9424994526747
"3","Portuguese",103192303,4.21805500623191
"4","French",78398143,3.20457698827048
"5","Bahasa",73809592,3.01701687037195
"6","Other",61479444,2.51301375204848
"7","German",42628313,1.74246105406593
"8","Thai",32527142,1.32956887444906
"9","Japanese",32357895,1.3226507891376
"10","Italian",26552977,1.08537084946356
"11","Turkish",21282544,0.86993834476735
"12","Hindi",19023968,0.777617526966091
"13","Dutch; Flemish",16367426,0.66902958041774
"14","Tagalog",12477316,0.510018709613812
"15","Catalan; Valencian",7992894,0.326714934843357
"16","Polish",5017828,0.20510710489532
"17","Arabic",3081247,0.125948049960539
"18","Russian",2927707,0.119671998871177
"19","Chinese",2818222,0.115196725629555
"20","Tamil",2617915,0.10700904186274
"21","Greek, Modern (1453-)",2232813,0.0912677377946462
"22","Korean",2082547,0.0851255136641658
"23","Estonian",1830856,0.0748374742299309
"24","Swedish",1566807,0.0640442932080816
"25","Czech",1393395,0.0569559607116095
"26","Romanian; Moldavian; Moldovan",1201799,0.0491243449468755
"27","Urdu",1009641,0.041269757052975
"28","Finnish",993443,0.0406076528746145
"29","Danish",986390,0.0403193567411427
"30","Marathi",956855,0.0391120936896624
"31","Haitian; Haitian Creole",934502,0.0381983997336868
"32","Slovenian",681541,0.0278584481926166
"33","Ukrainian",557362,0.0227825477873425
"34","Lithuanian",539176,0.0220391827677312
"35","Latvian",523223,0.0213870931296657
"36","Telugu",489867,0.0200236441252581
"37","Gujarati",434062,0.0177425771001063
"38","Persian",400056,0.016352558907161
"39","Norwegian",394137,0.0161106157887689
"40","Vietnamese",367802,0.0150341548962436
"41","Kannada",349740,0.0142958584602918
"42","Bengali",339339,0.0138707105680133
"43","Welsh",313189,0.0128018116753026
"44","Basque",299221,0.0122308602514639
"45","Malayalam",238229,0.00973777110178092
"46","Nepali",209839,0.00857731069780172
"47","Oriya",207039,0.00846285880871607
"48","Hungarian",195278,0.00798211999888164
"49","Burmese",130097,0.00531780264799161
"50","Panjabi; Punjabi",99912,0.00408397040797357
"51","Icelandic",93456,0.00382007705228179
"52","Serbian",91097,0.00372365133572712
"53","Sinhala; Sinhalese",82168,0.0033586724365679
"54","Bulgarian",78518,0.00320947622400982
"55","Amharic",19829,0.000810523753099807
"56","Divehi; Dhivehi; Maldivian",14862,0.000607494276996789
"57","Pushto; Pashto",11095,0.000453515610501909
"58","Armenian",7989,0.000326555764966179
"59","Central Khmer",6144,0.000251140145193666
"60","Georgian",4527,0.000185044179246701
"61","Sindhi",4253,0.000173844244386176
"62","Lao",3796,0.00015516406106041
"63","Tibetan",543,2.21954913476824e-05
"64","Uighur; Uyghur",253,1.03415456923824e-05
