"","V4","total"
"1","#covid19",126478873
"2","#coronavirus",43793221
"3","#covid",16046833
"4","#whatshappeninginmyanmar",3552497
"5","#covid<u+30fc>19",2252353
"6","#lockdown",2132457
"7","#corona",1609379
"8","#stayhome",1356474
"9","#china",1160193
"10","#omicron",1050704
"11","#wuhan",686574
"12","#covidー19",645610
"13","#wearamask",585314
"14","#myanmarneedso2",550607
"15","#july11coup",461257
"16","#modijipostponejeeneet",394921
"17","#swamyjihelpjeeneet",358124
"18","#endsars",349939
"19","#july10coup",349383
"20","#satyagrahagainstexamsincovid",319539
"21","#bts",306821
"22","#coronavirusoutbreak",266085
"23","#protestagainstexamsincovid",262955
"24","#july21coup",215977
"25","#indiaunitedtopostponejeeneet",213333
"26","#postponeneetandjee",207212
"27","#unga",199213
"28","#trumpknew",198243
"29","#covid2019",196353
"30","#postponejeeandneet",153978
"31","#vaccine",149068
"32","#trump",146851
"33","#sacwantscoviduncontrollable",146348
"34","#india",145320
"35","#hydroxychloroquine",144827
"36","#preveniresvencer",136661
"37","#epex",134927
"38","#wuhancoronavirus",128167
"39","#speakupforsscrailwaysstudends",125575
"40","#stopprivatisationsavegovtjob",124066
"41","#myanmarcovidsos",122067
"42","#dreadfulcovidamidmilitarycoup",116691
"43","#icrcsavemyanmarprisoners",112406
"44","#july23coup",107811
"45","#activoscontraelvirus",107547
"46","#postponesscchsl",107537
"47","#speakupforstudentsafety",106753
"48","#todoscontraelvirus",106573
"49","#icjbringsactojustice",105036
"50","#july17coup",103884
"51","#sputnikvgarantizavida",102840
"52","#surakshabeforepariksha",102441
"53","#lacovidnoesjuego",102419
"54","#postponejeeneetsept",99232
"55","#trumpvirus",98434
"56","#stayathome",98153
"57","#hopetogaza",96632
"58","#july12coup",96013
"59","#cuidémonosenfamilia",94952
"60","#cancelboardexams2021",94022
"61","#ntapostponejeeneet",93751
"62","#sputnikvcontracovid",93352
"63","#unidosenprevención",92619
"64","#rgpvspreadingcoronavirus",92426
"65","#trumphascovid",91625
"66","#army",91286
"67","#postponechsl2020",90916
"68","#antistudentmodigovt",90243
"69","#mj",89631
"70","#ripsubhasrisave30lakh",88194
"71","#cancelboardexams",85771
"72","#togetherathome",85566
"73","#lacovidnoescoba",83771
"74","#prevenireslaclave",82620
"75","#coronaoutbreak",76953
"76","#juntoscontralacovid19",76302
"77","#savejeeneetstudentspm",76121
"78","#neetjee",75354
"79","#july14coup",75254
"80","#postponeexamsorresignmodi",75133
"81","#prevenireselantídoto",74900
"82","#envenezuelanoscuidamos",73334
"83","#blood",73293
"84","#radicalescontralacovid19",73213
"85","#sopcantsavejeeneet",72604
"86","#july16coup",71854
"87","#parentsdemandpostponeneet",71834
"88","#largestvaccinedrive",71659
"89","#breaking",71195
"90","#modijicancel12thboards",70260
"91","#safehands",69751
"92","#prevenirporlavida",67702
"93","#july18coup",66761
"94","#prevenirsalvavidas",65946
"95","#btsongma",65792
"96","#lisa",64860
"97","#happyvirus",64718
"98","#pawankalyanbirthdaycdp",62844
"99","#bioseguridadporlavida",62493
"100","#july20coup",62250
"101","#cuídatedelacovid19",62145
"102","#daleunparaoalacovid",61731
"103","#luchacontralacovid19",61532
"104","#worldhealthday",60653
"105","#pltpinkmonday",60470
"106","#laprevenciónesclave",59646
"107","#modijihelpjeeneet",58748
"108","#evitaelcontagio",58524
"109","#july15coup",57613
"110","#scpostponejeeneet",56529
"111","#worldaidsday",56503
"112","#notimippci",55778
"113","#cancelboardexam2021",55229
"114","#cuidémonosdelvirus",54724
"115","#coronavirusupdate",53999
"116","#prevenciónenfamilia",53898
"117","#astrazeneca",53733
"118","#stoparrestingdoctors",53266
"119","#july22coup",52894
"120","#coronavir",51999
"121","#enhypen",51936
"122","#anonymous",51722
"123","#july27coup",50711
"124","#cuídatedelcovid19",50665
"125","#mannkinahistudentskibaat",50453
"126","#nomeatnocoronavirus",49524
"127","#cuidémonosdelacovid",49458
"128","#july26coup",49325
"129","#getsetyo",49088
"130","#flexibilizaciónsegura",48793
"131","#musicbank",48515
"132","#semanaflexible",48435
"133","#prisonerswithcovidneedrx",48274
