"","V4","total"
"1","@realDonaldTrump",14106218
"2","@realdonaldtrump",7159966
"3","@mippcivzla",4217090
"4","@joebiden",3486876
"5","@narendramodi",3232193
"6","@JoeBiden",1901092
"7","@potus",1750093
"8","@drericding",1045254
"9","@rwmalonemd",960583
"10","@nicolasmaduro",904206
"11","@DrRPNishank",872180
"12","@vtvcanal8",804438
"13","@kkmputrajaya",780980
"14","@aoc",697412
"15","@drdavidsamadi",690935
"16","@CNN",679706
"17","@kamalaharris",604068
"18","@LicypriyaK",579101
"19","@ProjectLincoln",535328
"20","@WHO",517395
"21","@pmoindia",506549
"22","@kylegriffin1",480448
"23","@occupydemocrats",463340
"24","@btstwt",456307
"25","@jackposobiec",433888
"26","@realcandaceo",422478
"27","@rahulgandhi",422124
"28","@disclosetv",375237
"29","@RealJamesWoods",355196
"30","@petersweden7",330162
"31","@NYGovCuomo",321033
"32","@Swamy39",319706
"33","@charliekirk11",308279
"34","@unicef",286931
"35","@BarackObama",273669
"36","@DrTedros",266338
"37","@flotus",259076
"38","@BernieSanders",234491
"39","@faheemyounus",234224
"40","@elonmusk",230583
"41","@nytimes",228177
"42","@OHmes2",227711
"43","@ConflitsFR",224356
"44","@drrpnishank",207663
"45","@KamalaHarris",207473
"46","@Ibraofficial",207316
"47","@rexchapman",193994
"48","@tarak9999",191674
"49","@govrondesantis",180041
"50","@spectatorindex",176768
"51","@dghisham",176500
"52","@manopsi",176412
"53","@zornitsaxx",166814
"54","@RealCandaceO",164374
"55","@AOC",163899
"56","@lopezobrador",159329
"57","@donwinslow",156544
"58","@BrynnTannehill",154632
"59","@skaijackson",152123
"60","@ohmes2",151758
"61","@PMOIndia",149552
"62","@sheriantoinette",148799
"63","@donaldjtrumpjr",147443
"64","@BTStwt",144579
"65","@angelicaxval",144571
"66","@gregabbotttx",143210
"67","@MikelJollett",143077
"68","@funder",142855
"69","@suthichai",142445
"70","@RahulGandhi",142265
"71","@stfunell",134474
"72","@samiam2021md",133051
"73","@ASlavitt",131967
"74","@tedlieu",131829
"75","@biondiewasabi",130084
"76","@mmpadellan",129696
"77","@cdcgov",128456
"78","@projectlincoln",127103
"79","@AISAtweets",126978
"80","@ossoff",125079
"81","@rbreich",124718
"82","@brian2grimey",124714
"83","@KKMPutrajaya",124210
"84","@chuckcallesto",123130
"85","@yzngangel",121432
"86","@unicefchief",121252
"87","@drelidavid",121204
"88","@stevenzequ",115899
"89","@gma",114580
"90","@wewantMor",114172
"91","@KILLBILLEVOL1",113243
"92","@nickiminaj",112932
"93","@randpaul",112889
"94","@Fayemous",112354
"95","@theogdc",111126
"96","@ani",110586
"97","@demetriachavon",108476
"98","@repkatieporter",107733
"99","@mxwxzz",107030
"100","@mediavenir",106905
"101","@bgluckman",105157
"102","@jimjordan",104944
"103","@lindseygrahamsc",104396
"104","@danamoralesss",104297
"105","@rekszn",103570
"106","@wendizzle",103011
"107","@btsbighit",101645
"108","@theepex",100835
"109","@realjameswoods",99943
"110","@drsimonegold",99736
"111","@BT21",99262
"112","@riotwaltz",98842
"113","@clownlito",98827
"114","@usfda",98477
"115","@miriamh13",96246
"116","@repjayapal",95344
"117","@505eunice",94156
"118","@rudygiuliani",93908
"119","@khunneung137",92718
"120","@bnodesk",92599
"121","@jocehfk",91342
"122","@ZackBornstein",90997
"123","@eugenegu",90932
"124","@bighitent",90380
"125","@curtisisbooger",90000
"126","@Abdulmir19",89834
"127","@theprincedylan",89725
"128","@RJXXIV",89499
"129","@andrewshuk2112",89218
"130","@CamealAshley",89004
"131","@migizikwe",88989
"132","@nickwiger",88927
"133","@HeavenSentMel",87053
"134","@SrBachchan",86853
"135","@MatthewACherry",86599
"136","@allareblessed",86382
"137","@JackPosobiec",86043
"138","@intothebrush",85848
"139","@moonriver365",85717
"140","@washikirei",85241
"141","@buhrooke",83531
"142","@alsoto7",82605
"143","@sugaplumami",82555
"144","@yagirlkat",82238
"145","@doctoroxford",81177
"146","@naomusiker",80809
"147","@emaperidol",80555
"148","@KyleKulinski",80390
"149","@llinwood",80278
"150","@Tgiferb",80271
"151","@BrianduNord",80022
"152","@SandeepSaurav",79285
"153","@offchainon",79245
"154","@alfredodelmazo",78772
"155","@cnn",78260
"156","@maddow",77894
"157","@mhdksafa",77882
"158","@danpriceseattle",77831
"159","@itsdryx",77638
"160","@erictile",76850
"161","@choloabel",76668
"162","@who",76630
"163","@jrnalll",76585
"164","@jodidoering",76477
"165","@jenniferjjacobs",76472
"166","@DatMichCray",75982
"167","@khetithegreat",75908
"168","@ilneroback",75859
"169","@CoachJustice10",75769
"170","@goldoveries",75664
"171","@hlgatell",74986
"172","@mrgoya01",74980
"173","@cxrpxe",74751
"174","@claytravis",74611
"175","@valeriatapia",74439
"176","@marinarasawce",74292
"177","@fvrnandaa",74281
"178","@JudahTheSimp",74141
"179","@alanaauston",73817
"180","@matthancock",72734
"181","@officialplt",72343
"182","@f8th",72293
"183","@lexilulu",71668
"184","@saysthefox",71460
"185","@jennidigital",70537
"186","@whitehouse",70366
"187","@bassbarbie182",70150
"188","@pfizer",69797
"189","@berniesanders",69204
"190","@KanganaTeam",69070
"191","@BorisJohnson",69044
"192","@DanRather",68297
"193","@siwuol",67330
"194","@paulsperry",67269
"195","@kingdeficit",67178
"196","@zachnm",66891
"197","@ishathepoet",66814
"198","@jnyjinjin",66452
"199","@MK813",66328
"200","@kiranxx",66067
"201","@oscaardiaz",65958
"202","@ellorysmith",65693
"203","@chancsmith",65229
"204","@vp",64930
"205","@forensictoxguy",64927
"206","@Loeybug",64753
"207","@mitsurutenma",64497
"208","@jemelehill",64321
"209","@essexpr",64048
"210","@bcraigv",63819
"211","@pompomcoffee",63609
"212","@eyekon131",63249
"213","@danhaelle",63199
"214","@birdexecutive",63086
"215","@dcmadness202",63011
"216","@nyshuffler",62918
"217","@DaniOliver",62577
"218","@sajidjavid",62405
"219","@emresus",62369
"220","@JJMaples55MST",62326
"221","@choibts2",62247
"222","@PlainJanie",61957
"223","@abcdrih",61923
"224","@DGHisham",61892
"225","@edmcupid",61757
"226","@stellaimmanuel",61735
"227","@borisjohnson",61498
"228","@kynjoy",61484
"229","@radseed",61457
"230","@stephenking",61388
"231","@danaoneika",61075
"232","@volinxx",60986
"233","@nicolecoyle5",60693
"234","@diayannna",60577
"235","@mkstalin",60532
"236","@Ixyaaa",59754
"237","@Toniob38",59561
"238","@BladeHalll",59272
"239","@KBSeauxluxe",59064
"240","@blendben",58776
"241","@thegallowboob",58535
"242","@yoyotrav",58174
"243","@adoraIbe",58080
"244","@sebgorka",58053
"245","@PiyushGoyal",58001
"246","@60minutes",57823
"247","@rofnl",57360
"248","@helloalegria",57319
"249","@omithewaffler",57242
"250","@bestofmarshall",57193
"251","@marcorubio",57187
"252","@justwinnie",56960
"253","@coastaleddylb",56786
"254","@WITCHTRlALS",56775
"255","@mas1z1",56497
"256","@btstwts",56468
"257","@beyabean",56393
"258","@EMRESUS",55961
"259","@AlexEdelman",55875
"260","@airaaa",55726
"261","@ifpiorg",55623
"262","@incandescent",55283
"263","@itsma",55275
"264","@IAMJADEJACKSON",55203
"265","@peytnhaag",55088
"266","@coolkidneverhot",55068
"267","@joeltkl",54838
"268","@UN",54780
"269","@HypNADic",54743
"270","@halldrunkface",54685
"271","@benoobrown",54599
"272","@craigaspencer",54569
"273","@bluebluwhale",54385
"274","@tevonblair",54187
"275","@RexChapman",54167
"276","@thinkpositiveal",54139
"277","@duttypaul",54056
"278","@ProjectJosiee",54055
"279","@hhsgov",53988
"280","@catturd2",53844
"281","@repthomasmassie",53639
"282","@TheRealHazz",53495
"283","@mintitapreview",53475
"284","@adazzlinhaze",53378
"285","@vaccinateddk",53180
