Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1405465239357886475,laquitta willis,14,29,PER,0.9912
1405465239357886475,lady,102,106,PER,0.9886
1405465239383068676,bella,12,17,LOC,0.4971
1405465239383068676,auwel8zfjj,58,68,LOC,0.9282
1405465239433404416,tfl,114,117,ORG,0.7648
1405465239433404416,labour,122,128,ORG,0.8798
1405465239462854660,mallorca,20,28,LOC,0.3566
1405465239462854660,spain,30,35,LOC,0.9999
1405465239504687104,covid19,54,61,MISC,0.889
1405465239504687104,kent,108,112,LOC,0.841
1405465239504687104,brazil,114,120,LOC,0.9984
1405465239504687104,south africa,122,134,LOC,0.9881
1405465239504687104,indian,139,145,MISC,0.9994
1405465240163192835,uk houseprices,0,14,ORG,0.9272
1405465240356204546,matthancock,85,96,MISC,0.9348
1405465240356204546,hoc,132,135,ORG,0.6137
1405465240536588291,mulan &amp,85,95,ORG,0.5695
1405465240536588291,annamaywong,97,108,LOC,0.3728
1405465240846757891,india,18,23,LOC,0.9851
1405465240846757891,sri lanka,58,67,LOC,0.9994
1405465240846757891,covid19,104,111,MISC,0.9005
1405465240855318532,the music train,44,59,ORG,0.7095
1405465241090068485,covid19,4,11,MISC,0.7919
1405465241090068485,ifc,108,111,ORG,0.9237
1405465241090068485,rockefellerfdn,117,131,ORG,0.6906
1405465241090068485,endenergypoverty,150,166,ORG,0.4554
1405465241090068485,energyempowers,200,214,ORG,0.222
1405465241140535297,bucks council,0,13,ORG,0.8858
1405465241140535297,covid-19,45,53,MISC,0.7015
1405465241178284035,islamist,125,133,MISC,0.9927
1405465241178284035,israel,143,149,LOC,0.999
1405465241199136773,chellamma,86,95,PER,0.9043
1405465241211781122,covid19,41,48,MISC,0.8923
1405465241211781122,ugandans,82,90,MISC,0.9958
1405465241945731074,jazz south,88,98,LOC,0.6251
1405465241945731074,platform south,106,120,ORG,0.8043
1405465242604298243,g7,31,33,ORG,0.9804
1405465242604298243,carbis bay,79,89,LOC,0.9299
1405465243677908995,dougford,12,20,LOC,0.805
1405465243677908995,onpoli ontario topoli toronto ottpoli ottawa misspoli mississauga brampoli brampton hampoli hamont kingstonon tbpoli thunderbay sudpoli sudbury oshpoli oshawa niapoli stcatherines,22,201,MISC,0.6784
1405465243707392002,carmine,69,76,PER,0.9162
1405465243736809474,armed forces,53,65,ORG,0.6599
1405465243736809474,wakefield,69,78,LOC,0.9868
1405465243736809474,five towns,87,97,MISC,0.4737
1405465243980120068,josep maria ribera,21,39,PER,0.819
1405465243980120068,carrerasijc,41,52,ORG,0.5514
1405465243980120068,spain,138,143,LOC,0.9948
1405465244181336067,nft,15,18,ORG,0.963
1405465244181336067,covid alien,40,51,MISC,0.6435
1405465246479826945,government,74,84,ORG,0.8361
1405465246479826945,government,175,185,ORG,0.4403
1405465247033462789,mark mccolloch,30,44,PER,0.9966
1405465247201345538,australian,70,80,MISC,0.9086
1405465247457157127,carmine,69,76,PER,0.9146
1405465247457157127,kvkfa0gxuz,170,180,LOC,0.8811
1405465247461220355,new yorkers,0,11,MISC,0.7056
1405465247461220355,jfk8,93,97,MISC,0.7001
1405465247461220355,amazon,100,106,ORG,0.5715
1405465247461220355,ny,136,138,LOC,0.9682
1405465247461220355,jeff bezos,171,181,PER,0.9781
1405465247494795266,tánaiste leo varadkar,64,85,ORG,0.648
1405465251252944896,kelly loeffler,36,50,PER,0.9988
1405465251252944896,david perdue,52,64,PER,0.9997
1405465251252944896,richard burr,66,78,PER,0.9999
1405465251252944896,jim inhofe,80,90,PER,0.9998
1405465251252944896,ron johnson,92,103,PER,0.9993
1405465251252944896,dan crenshaw,105,117,PER,0.9991
1405465251307532294,serasbae hatishi,28,44,LOC,0.5531
1405465253060780043,corona,27,33,ORG,0.4903
1405465253060780043,nithyananda satsang  nithyananda kailaasa covid19 coronaviruspandemic india,46,121,MISC,0.7289
1405465253161353217,norway,14,20,LOC,0.9997
1405465253266149378,india,41,46,LOC,0.9615
1405465255359266821,uk,60,62,LOC,0.9865
1405465255422173185,jon stewart,20,31,PER,0.9864
1405465257926135810,uk,29,31,LOC,0.9999
1405465257926135810,brexit,65,71,ORG,0.6535
1405465257930334209,julia,15,20,PER,0.9945
1405465257930334209,"""im done""",29,37,MISC,0.6592
1405465257930334209,boris johnson,95,108,PER,0.9992
1405465258098106375,the pilgrim,177,188,ORG,0.4357
1405465259201208324,bell,10,14,PER,0.7646
1405465259201208324,united states,66,79,LOC,0.9997
1405465259356299266,veveonah,22,30,PER,0.9942
1405465259716931590,goi,40,43,ORG,0.5282
1405465259905802244,england,17,24,LOC,0.9984
1405465260224438275,disneyland,52,62,LOC,0.9619
1405465261654827011,julia,15,20,PER,0.9945
1405465261654827011,"""im done""",29,37,MISC,0.6592
1405465261654827011,boris johnson,95,108,PER,0.9992
1405465262183288832,uk,29,31,LOC,0.9999
1405465262183288832,brexit,65,71,ORG,0.6535
1405465262761992193,qingoracle malcom x,1,20,ORG,0.6977
1405465262761992193,america,58,65,LOC,0.9998
1405465263340879873,bell,26,30,PER,0.561
1405465263340879873,united states,82,95,LOC,0.9997
1405465264104296448,france,86,92,LOC,0.9995
1405465264104296448,pa,137,139,LOC,0.9989
1405465264569806859,guardians of the galaxy,36,59,MISC,0.877
1405465264569806859,eidos montreal,118,132,ORG,0.8028
1405465266272747521,cygnus,68,74,ORG,0.4735
1405465266289623040,corona,27,33,ORG,0.4903
1405465266289623040,nithyananda satsang  nithyananda kailaasa covid19 coronaviruspandemic india,46,121,MISC,0.7289
1405465266662756355,rigaerstrasse,41,54,LOC,0.8945
1405465266662756355,german,106,112,MISC,0.9997
1405465267057172485,nicolasturgeon,55,69,MISC,0.6417
1405465267057172485,union,90,95,ORG,0.9623
1405465267057172485,scotland,119,127,LOC,0.9991
1405465268000854016,tco,192,196,LOC,0.7224
1405465270555054080,twitter,35,42,ORG,0.7372
1405465270555054080,bjp,86,89,ORG,0.9873
1405465270555054080,sambit patra,103,115,PER,0.9962
1405465270555054080,covid toolkit,122,135,MISC,0.627
1405465271947567105,australian,24,34,MISC,0.9968
1405465271947567105,philippines,112,123,LOC,0.9996
1405465272077545473,india,13,18,LOC,0.9622
