"","Year","Month","Day","Text","Count"
"1",2020,1,29,"chinese",64841
"2",2020,1,29,"coronavirus",45638
"3",2020,1,29,"asian",34381
"4",2020,1,29,"italian",24281
"5",2020,1,29,"americans",13116
"6",2020,2,29,"coronavirus",366794
"7",2020,2,29,"democrats",90790
"8",2020,2,29,"americans",67294
"9",2020,2,29,"chinese",46323
"10",2020,2,29,"american",32624
"11",2020,4,30,"covid-19",74781
"12",2020,4,30,"coronavirus",51009
"13",2020,4,30,"americans",29951
"14",2020,4,30,"covid19",17328
"15",2020,4,30,"chinese",16494
"16",2020,7,17,"covid-19",92036
"17",2020,7,17,"americans",52278
"18",2020,7,17,"coronavirus",48193
"19",2020,7,17,"ci",36370
"20",2020,7,17,"chinese",30551
"21",2020,8,7,"covid-19",57689
"22",2020,8,7,"americans",41508
"23",2020,8,7,"democrat",21615
"24",2020,8,7,"republicans",21159
"25",2020,8,7,"covid",19128
"26",2020,9,13,"covid-19",70351
"27",2020,9,13,"americans",58267
"28",2020,9,13,"covid",35633
"29",2020,9,13,"american",32178
"30",2020,9,13,"chinese",30434
"31",2020,9,16,"chinese",154265
"32",2020,9,16,"covid-19",97849
"33",2020,9,16,"americans",77464
"34",2020,9,16,"covid",41599
"35",2020,9,16,"coronavirus",34812
"36",2020,12,17,"covid-19",92410
"37",2020,12,17,"covid",76101
"38",2020,12,17,"americans",74028
"39",2020,12,17,"republicans",24382
"40",2020,12,17,"american",21583
"41",2020,12,20,"covid-19",65496
"42",2020,12,20,"covid",64089
"43",2020,12,20,"muslim",36661
"44",2020,12,20,"americans",32934
"45",2020,12,20,"republicans",27622
"46",2020,12,21,"covid-19",98537
"47",2020,12,21,"covid",94980
"48",2020,12,21,"americans",74987
"49",2020,12,21,"republicans",44777
"50",2020,12,21,"covid19",28595
"51",2020,12,22,"covid-19",116154
"52",2020,12,22,"covid",109952
"53",2020,12,22,"american",74142
"54",2020,12,22,"grey’s anatomy",66581
"55",2020,12,22,"americans",64564
"56",2020,12,23,"covid",99269
"57",2020,12,23,"covid-19",81553
"58",2020,12,23,"americans",56468
"59",2020,12,23,"american",36082
"60",2020,12,23,"covid19",27074
"61",2020,12,24,"americans",64679
"62",2020,12,24,"covid-19",54914
"63",2020,12,24,"covid",51087
"64",2020,12,24,"republicans",47893
"65",2020,12,24,"covid19",22056
"66",2020,12,25,"americans",46350
"67",2020,12,25,"covid-19",32337
"68",2020,12,25,"covid",27973
"69",2020,12,25,"republicans",21366
"70",2020,12,25,"american",12052
"71",2020,12,26,"covid-19",50082
"72",2020,12,26,"americans",48457
"73",2020,12,26,"covid",33345
"74",2020,12,26,"democrat",24914
"75",2020,12,26,"covid19",14511
"76",2020,12,27,"americans",107636
"77",2020,12,27,"covid-19",65214
"78",2020,12,27,"covid",63531
"79",2020,12,27,"american",26522
"80",2020,12,27,"republicans",21994
"81",2020,12,28,"covid",80725
"82",2020,12,28,"covid-19",78503
"83",2020,12,28,"americans",66468
"84",2020,12,28,"chinese",35570
"85",2020,12,28,"american",23410
"86",2020,12,29,"covid-19",83871
"87",2020,12,29,"americans",65940
"88",2020,12,29,"covid",60237
"89",2020,12,29,"american",31357
"90",2020,12,29,"chinese",23904
"91",2020,12,30,"covid-19",91541
"92",2020,12,30,"americans",73687
"93",2020,12,30,"covid",46980
"94",2020,12,30,"american",41853
"95",2020,12,30,"republicans",26707
"96",2020,12,31,"covid-19",95703
"97",2020,12,31,"americans",53704
"98",2020,12,31,"covid",44543
"99",2020,12,31,"covid19",31765
"100",2020,12,31,"republicans",24689
"101",2021,1,1,"covid-19",55490
"102",2021,1,1,"covid",34457
"103",2021,1,1,"americans",34294
"104",2021,1,1,"new year",22992
"105",2021,1,1,"republican",17852
"106",2021,1,2,"covid-19",71034
"107",2021,1,2,"covid",44513
"108",2021,1,2,"americans",28081
"109",2021,1,2,"covid19",17070
"110",2021,1,2,"republican",14596
"111",2021,1,3,"covid",79071
"112",2021,1,3,"covid-19",63691
"113",2021,1,3,"americans",22557
"114",2021,1,3,"covid19",18349
"115",2021,1,3,"seruminstindia",16676
"116",2021,1,4,"covid",91052
"117",2021,1,4,"covid-19",68206
"118",2021,1,4,"americans",39145
"119",2021,1,4,"covid19",21511
"120",2021,1,4,"british",12337
"121",2021,1,5,"covid-19",83164
"122",2021,1,5,"covid",44167
"123",2021,1,5,"americans",35585
"124",2021,1,5,"covid19",25967
"125",2021,1,5,"coronavirus",12218
"126",2021,1,6,"covid-19",65122
"127",2021,1,6,"covid",38408
"128",2021,1,6,"americans",25352
"129",2021,1,6,"covid19",20243
"130",2021,1,6,"republican",16383
"131",2021,1,7,"covid-19",54967
"132",2021,1,7,"covid",26357
"133",2021,1,7,"covid19",21774
"134",2021,1,7,"americans",20753
"135",2021,1,7,"gofundme",10149
"136",2021,1,8,"covid-19",66862
"137",2021,1,8,"americans",44114
"138",2021,1,8,"covid",29536
"139",2021,1,8,"covid19",21926
"140",2021,1,8,"democrats",11693
"141",2021,1,9,"covid-19",58317
"142",2021,1,9,"covid",29700
"143",2021,1,9,"americans",24823
"144",2021,1,9,"gop",19657
"145",2021,1,9,"covid19",14142
"146",2021,1,10,"covid-19",51562
"147",2021,1,10,"gop",25056
"148",2021,1,10,"covid",25034
"149",2021,1,10,"americans",22193
"150",2021,1,10,"covid19",17851
"151",2021,1,11,"covid-19",80909
"152",2021,1,11,"covid",37210
"153",2021,1,11,"covid19",27327
"154",2021,1,11,"democrats",19151
"155",2021,1,11,"americans",17785
"156",2021,1,12,"covid-19",102357
"157",2021,1,12,"republicans",57446
"158",2021,1,12,"repu",54129
"159",2021,1,12,"covid",43844
"160",2021,1,12,"rep",42447
"161",2021,1,13,"covid-19",75139
"162",2021,1,13,"republicans",43810
"163",2021,1,13,"covid",40324
"164",2021,1,13,"covid19",40022
"165",2021,1,13,"rep",25172
"166",2021,1,14,"covid-19",87038
"167",2021,1,14,"covid",34465
"168",2021,1,14,"americans",24750
"169",2021,1,14,"covid19",19679
"170",2021,1,14,"chinese",11638
"171",2021,1,15,"covid-19",83840
"172",2021,1,15,"americans",53789
"173",2021,1,15,"covid",40233
"174",2021,1,15,"covid19",15684
"175",2021,1,15,"american",15193
"176",2021,1,16,"covid-19",99201
"177",2021,1,16,"covid",50196
"178",2021,1,16,"americans",41345
"179",2021,1,16,"covid19",28649
"180",2021,1,16,"largestvaccinedrive",20155
"181",2021,1,17,"covid-19",57316
"182",2021,1,17,"covid",34809
"183",2021,1,17,"americans",28891
"184",2021,1,17,"republicans",19553
"185",2021,1,17,"american",18842
"186",2021,1,18,"covid-19",54007
"187",2021,1,18,"covid",32933
"188",2021,1,18,"americans",20104
"189",2021,1,18,"covid19",15465
"190",2021,1,18,"american",11122
"191",2021,1,19,"covid-19",99262
"192",2021,1,19,"americans",55924
"193",2021,1,19,"covid",35700
"194",2021,1,19,"covid19",23641
"195",2021,1,19,"american",16510
"196",2021,1,20,"americans",94273
"197",2021,1,20,"covid-19",86748
"198",2021,1,20,"covid",29632
"199",2021,1,20,"american",18115
"200",2021,1,20,"covid19",17923
"201",2021,1,21,"covid-19",128039
"202",2021,1,21,"americans",47907
"203",2021,1,21,"covid",39507
"204",2021,1,21,"trump",22399
"205",2021,1,21,"covid19",18752
"206",2021,1,22,"covid-19",99156
"207",2021,1,22,"covid",41652
"208",2021,1,22,"americans",30038
"209",2021,1,22,"covid19",20963
"210",2021,1,22,"american",15658
"211",2021,1,23,"covid-19",82827
"212",2021,1,23,"covid",52825
"213",2021,1,23,"covid19",30682
"214",2021,1,23,"americans",23517
"215",2021,1,23,"fauci ouchie",13096
"216",2021,1,24,"covid-19",56107
"217",2021,1,24,"covid",34486
"218",2021,1,24,"americans",23806
"219",2021,1,24,"covid19",16629
"220",2021,1,24,"paris accord",14128
"221",2021,1,25,"covid-19",85728
"222",2021,1,25,"covid",39692
"223",2021,1,25,"americans",23631
"224",2021,1,25,"covid19",22685
"225",2021,1,25,"democrat",13402
"226",2021,1,26,"covid-19",77433
"227",2021,1,26,"covid",47390
"228",2021,1,26,"democrats",30400
"229",2021,1,26,"covid19",27670
"230",2021,1,26,"americans",25891
"231",2021,1,27,"covid-19",77430
"232",2021,1,27,"covid",47348
"233",2021,1,27,"americans",24216
"234",2021,1,27,"ebola",22814
"235",2021,1,27,"covid19",21409
"236",2021,1,28,"covid-19",67236
"237",2021,1,28,"covid",43021
"238",2021,1,28,"americans",22972
"239",2021,1,28,"covid19",18368
"240",2021,1,28,"gop",11442
"241",2021,1,30,"covid-19",57394
"242",2021,1,30,"covid",29101
"243",2021,1,30,"black",26856
"244",2021,1,30,"republicans",24606
"245",2021,1,30,"latinx",22618
"246",2021,1,31,"covid-19",50433
"247",2021,1,31,"republicans",33034
"248",2021,1,31,"covid",32836
"249",2021,1,31,"americans",23211
"250",2021,1,31,"gop",22263
"251",2021,2,1,"covid-19",77905
"252",2021,2,1,"covid",49713
"253",2021,2,1,"republicans",34168
"254",2021,2,1,"gop",29007
"255",2021,2,1,"covid19",26882
"256",2021,2,2,"covid-19",84125
"257",2021,2,2,"covid",69395
"258",2021,2,2,"republicans",38758
"259",2021,2,2,"covid19",24454
"260",2021,2,2,"democrats",22972
"261",2021,2,3,"covid",105274
"262",2021,2,3,"republicans",95895
"263",2021,2,3,"covid-19",63452
"264",2021,2,3,"americans",42903
"265",2021,2,3,"republican",35251
"266",2021,2,4,"covid-19",65057
"267",2021,2,4,"covid",49508
"268",2021,2,4,"americans",35946
"269",2021,2,4,"republicans",27929
"270",2021,2,4,"democrats",21290
"271",2021,2,5,"covid-19",64295
"272",2021,2,5,"covid",45711
"273",2021,2,5,"americans",44677
"274",2021,2,5,"republicans",22680
"275",2021,2,5,"democrats",22537
"276",2021,2,6,"covid-19",26257
"277",2021,2,6,"covid",19011
"278",2021,2,6,"americans",13185
"279",2021,2,6,"covid19",7754
"280",2021,2,6,"democrats",5753
"281",2021,2,7,"covid-19",47383
"282",2021,2,7,"covid",28449
"283",2021,2,7,"super bowl",21076
"284",2021,2,7,"americans",20824
"285",2021,2,7,"covid19",10813
"286",2021,2,8,"covid-19",54592
"287",2021,2,8,"americans",49505
"288",2021,2,8,"covid",32821
"289",2021,2,8,"super bowl",32640
"290",2021,2,8,"supeâ€¦",28152
"291",2021,2,9,"covid",51205
"292",2021,2,9,"covid-19",50774
"293",2021,2,9,"americans",29517
"294",2021,2,9,"sikh",21991
"295",2021,2,9,"first nations",21988
"296",2021,2,10,"covid-19",39841
"297",2021,2,10,"covid",30013
"298",2021,2,10,"americans",25061
"299",2021,2,10,"covid19",17735
"300",2021,2,10,"coronavirus",10869
"301",2021,2,11,"covid-19",55389
"302",2021,2,11,"covid",35943
"303",2021,2,11,"americans",31470
"304",2021,2,11,"covid19",22453
"305",2021,2,11,"coronavirus",10291
"306",2021,2,12,"covid",37417
"307",2021,2,12,"covid-19",36268
"308",2021,2,12,"americans",32796
"309",2021,2,12,"covid19",19543
"310",2021,2,12,"covid 19",15283
"311",2021,2,13,"covid-19",31279
"312",2021,2,13,"covid",28754
"313",2021,2,13,"republicans",17722
"314",2021,2,13,"covid19",16709
"315",2021,2,13,"democrats",14340
"316",2021,2,14,"covid",32138
"317",2021,2,14,"covid-19",27604
"318",2021,2,14,"americans",19577
"319",2021,2,14,"happy valentines day",17652
"320",2021,2,14,"coronavirus",17117
"321",2021,2,15,"covid-19",45190
"322",2021,2,15,"covid",37377
"323",2021,2,15,"americans",29042
"324",2021,2,15,"spanish",18325
"325",2021,2,15,"covid19",14937
"326",2021,2,16,"covid-19",54940
"327",2021,2,16,"covid",42158
"328",2021,2,16,"covid19",21984
"329",2021,2,16,"americans",19871
"330",2021,2,16,"democrats",12238
"331",2021,2,17,"covid",63286
"332",2021,2,17,"covid-19",54675
"333",2021,2,17,"texans",34564
"334",2021,2,17,"american",24252
"335",2021,2,17,"republicans",17690
"336",2021,2,18,"covid-19",56935
"337",2021,2,18,"covid",46881
"338",2021,2,18,"republicans",36955
"339",2021,2,18,"covid19",17193
"340",2021,2,18,"americans",13380
"341",2021,2,19,"covid-19",40739
"342",2021,2,19,"americans",33765
"343",2021,2,19,"covid",32861
"344",2021,2,19,"covid19",17491
"345",2021,2,19,"american",11262
"346",2021,2,20,"covid-19",44834
"347",2021,2,20,"covid",43701
"348",2021,2,20,"americans",19060
"349",2021,2,20,"british",13586
"350",2021,2,20,"covid19",11275
"351",2021,2,21,"covid-19",63874
"352",2021,2,21,"covid",36529
"353",2021,2,21,"americans",35506
"354",2021,2,21,"native",27804
"355",2021,2,21,"american",12544
"356",2021,2,22,"covid-19",73219
"357",2021,2,22,"americans",46054
"358",2021,2,22,"covid",36421
"359",2021,2,22,"american",19902
"360",2021,2,22,"covid19",14712
"361",2021,2,23,"americans",86949
"362",2021,2,23,"covid-19",80778
"363",2021,2,23,"covid",38115
"364",2021,2,23,"american",25745
"365",2021,2,23,"covid19",24034
"366",2021,2,24,"covid-19",79417
"367",2021,2,24,"covid",49248
"368",2021,2,24,"americans",36752
"369",2021,2,24,"covid19",25051
"370",2021,2,24,"republicans",18296
"371",2021,2,25,"covid-19",24328
"372",2021,2,25,"covid",11802
"373",2021,2,25,"german",5405
"374",2021,2,25,"americans",3220
"375",2021,2,25,"covid19",2964
"376",2021,2,26,"covid-19",62986
"377",2021,2,26,"german",44584
"378",2021,2,26,"covid",44510
"379",2021,2,26,"asians",36191
"380",2021,2,26,"democrats",18558
"381",2021,2,27,"covid",56221
"382",2021,2,27,"republicans",44072
"383",2021,2,27,"republican",38427
"384",2021,2,27,"covid-19",34669
"385",2021,2,27,"americans",22982
"386",2021,2,28,"covid",58449
"387",2021,2,28,"republicans",38130
"388",2021,2,28,"covid-19",37458
"389",2021,2,28,"americans",29692
"390",2021,2,28,"republican",28156
"391",2021,3,1,"covid-19",82174
"392",2021,3,1,"covid",34779
"393",2021,3,1,"covid19",19894
"394",2021,3,1,"republicans",16718
"395",2021,3,1,"americans",14816
"396",2021,3,2,"covid-19",65041
"397",2021,3,2,"covid",61424
"398",2021,3,2,"americans",31298
"399",2021,3,2,"covid19",19639
"400",2021,3,2,"texans",16993
"401",2021,3,3,"covid-19",79000
"402",2021,3,3,"covid",60684
"403",2021,3,3,"texans",42446
"404",2021,3,3,"americans",34710
"405",2021,3,3,"republicans",24785
"406",2021,3,4,"covid-19",70110
"407",2021,3,4,"covid",63414
"408",2021,3,4,"republicans",50841
"409",2021,3,4,"americans",39647
"410",2021,3,4,"republican",34596
"411",2021,3,5,"republicans",109635
"412",2021,3,5,"covid-19",105832
"413",2021,3,5,"covid",96998
"414",2021,3,5,"americans",72378
"415",2021,3,5,"republican",37939
"416",2021,3,6,"covid",124540
"417",2021,3,6,"covid-19",68682
"418",2021,3,6,"democrats",67470
"419",2021,3,6,"republicans",62136
"420",2021,3,6,"americans",58149
"421",2021,3,7,"covid",91215
"422",2021,3,7,"republicans",64315
"423",2021,3,7,"covid-19",47189
"424",2021,3,7,"democrats",40988
"425",2021,3,7,"americans",39000
"426",2021,3,8,"covid-19",59302
"427",2021,3,8,"covid",42477
"428",2021,3,8,"democrats",32656
"429",2021,3,8,"americans",27929
"430",2021,3,8,"republicans",26686
"431",2021,3,9,"covid-19",56342
"432",2021,3,9,"covid",51913
"433",2021,3,9,"americans",25089
"434",2021,3,9,"republicans",18614
"435",2021,3,9,"covid19",15860
"436",2021,3,10,"covid-19",119603
"437",2021,3,10,"covid",94157
"438",2021,3,10,"republicans",56089
"439",2021,3,10,"americans",39012
"440",2021,3,10,"democrats",24680
"441",2021,3,11,"covid-19",130444
"442",2021,3,11,"covid",100515
"443",2021,3,11,"republicans",93724
"444",2021,3,11,"americans",53365
"445",2021,3,11,"american",28999
"446",2021,3,12,"covid-19",89993
"447",2021,3,12,"americans",70213
"448",2021,3,12,"covid",58859
"449",2021,3,12,"american",48956
"450",2021,3,12,"republicans",44238
"451",2021,3,13,"covid-19",44718
"452",2021,3,13,"covid",44653
"453",2021,3,13,"americans",17851
"454",2021,3,13,"republicans",17068
"455",2021,3,13,"covid19",16594
"456",2021,3,14,"covid",53485
"457",2021,3,14,"covid-19",48604
"458",2021,3,14,"republicans",21254
"459",2021,3,14,"americans",17249
"460",2021,3,14,"republican",12747
"461",2021,3,15,"covid-19",60546
"462",2021,3,15,"covid",50908
"463",2021,3,15,"americans",22575
"464",2021,3,15,"republicans",16671
"465",2021,3,15,"covid19",15669
"466",2021,3,16,"covid-19",59135
"467",2021,3,16,"covid",41144
"468",2021,3,16,"republican",17470
"469",2021,3,16,"americans",16581
"470",2021,3,16,"covid19",16471
"471",2021,3,17,"covid-19",60121
"472",2021,3,17,"covid",40272
"473",2021,3,17,"asian",37705
"474",2021,3,17,"chinese",34580
"475",2021,3,17,"asians",27898
"476",2021,3,18,"covid-19",56880
"477",2021,3,18,"covid",56645
"478",2021,3,18,"asian",23054
"479",2021,3,18,"chinese",18141
"480",2021,3,18,"covid19",18001
"481",2021,3,19,"covid-19",58432
"482",2021,3,19,"covid",38352
"483",2021,3,19,"covid19",18680
"484",2021,3,19,"russian",15165
"485",2021,3,19,"chinese",11558
"486",2021,3,20,"covid-19",70093
"487",2021,3,20,"covid",37442
"488",2021,3,20,"chinese",16359
"489",2021,3,20,"covid19",16176
"490",2021,3,20,"americans",14324
"491",2021,3,21,"covid-19",43149
