"","Year","Month","Day","Text","Count"
"1",2020,1,29,"british airways",14527
"2",2020,1,29,"cdc",12044
"3",2020,1,29,"huawei",6192
"4",2020,1,29,"super junior",4573
"5",2020,1,29,"senate",4303
"6",2020,2,29,"cdc",85263
"7",2020,2,29,"trump",21850
"8",2020,2,29,"cnn",10748
"9",2020,2,29,"fox news",10374
"10",2020,2,29,"bts",9398
"11",2020,4,30,"nhs",9500
"12",2020,4,30,"cdc",8326
"13",2020,4,30,"trump",8145
"14",2020,4,30,"mask america",6120
"15",2020,4,30,"rbi",4841
"16",2020,7,17,"cdc",261349
"17",2020,7,17,"trump administration",37945
"18",2020,7,17,"trump",23295
"19",2020,7,17,"covid",16382
"20",2020,7,17,"congress",10660
"21",2020,8,7,"cdc",19386
"22",2020,8,7,"china virus",16527
"23",2020,8,7,"radical left democrats",16494
"24",2020,8,7,"trump",9165
"25",2020,8,7,"chinavirus",7957
"26",2020,9,16,"cdc",114363
"27",2020,9,16,"trump",25153
"28",2020,9,16,"migos",22410
"29",2020,9,16,"cnn",22042
"30",2020,9,16,"abc",21867
"31",2020,12,17,"pfizer",27512
"32",2020,12,17,"cdc",24598
"33",2020,12,17,"senate",19792
"34",2020,12,17,"congress",16796
"35",2020,12,17,"trump",15622
"36",2020,12,22,"congress",122613
"37",2020,12,22,"senate",28542
"38",2020,12,22,"eu",27701
"39",2020,12,22,"cdc",20811
"40",2020,12,22,"house",14146
"41",2021,1,1,"senate",27715
"42",2021,1,1,"icu",27454
"43",2021,1,1,"times square",23055
"44",2021,1,1,"pfizer",17419
"45",2021,1,1,"nhs",14596
"46",2021,1,2,"icu",24826
"47",2021,1,2,"nhs",20767
"48",2021,1,2,"senate",17349
"49",2021,1,2,"pfizer",14147
"50",2021,1,2,"texas supreme court",11159
"51",2021,1,3,"covid",15477
"52",2021,1,3,"cdc",14891
"53",2021,1,3,"nhs",13733
"54",2021,1,3,"bharat biotech",12683
"55",2021,1,3,"congress",12253
"56",2021,1,4,"nhs",23775
"57",2021,1,4,"covid",14482
"58",2021,1,4,"""""peoples house""""",13649
"59",2021,1,4,"senate",12033
"60",2021,1,4,"icu",11963
"61",2021,1,5,"nhs",23715
"62",2021,1,5,"covid",13721
"63",2021,1,5,"pfizer",11182
"64",2021,1,5,"senate",10643
"65",2021,1,5,"icu",9765
