"","Year","Month","Text","Count"
"1",2020,1,"china",359290
"2",2020,1,"wuhan",119805
"3",2020,1,"us",45592
"4",2020,1,"australia",22723
"5",2020,1,"hong kong",13826
"6",2020,2,"china",242483
"7",2020,2,"us",172415
"8",2020,2,"corona",63641
"9",2020,2,"washington",59039
"10",2020,2,"iran",54732
"11",2020,4,"china",84687
"12",2020,4,"us",75665
"13",2020,4,"america",32604
"14",2020,4,"uk",32545
"15",2020,4,"india",19800
"16",2020,7,"us",123396
"17",2020,7,"florida",92948
"18",2020,7,"portland",46916
"19",2020,7,"china",42859
"20",2020,7,"india",42717
"21",2020,8,"us",60251
"22",2020,8,"china",28518
"23",2020,8,"india",25967
"24",2020,8,"america",23883
"25",2020,8,"ohio",21053
"26",2020,9,"china",110186
"27",2020,9,"us",87300
"28",2020,9,"america",49909
"29",2020,9,"white house",35843
"30",2020,9,"wuhan",33534
"31",2020,12,"us",1312434
"32",2020,12,"uk",1271453
"33",2020,12,"china",812780
"34",2020,12,"america",354771
"35",2020,12,"london",141265
"36",2021,1,"uk",1995941
"37",2021,1,"us",1383227
"38",2021,1,"china",945947
"39",2021,1,"india",680436
"40",2021,1,"capitol",267262
"41",2021,2,"us",1116373
"42",2021,2,"uk",1057342
"43",2021,2,"china",478698
"44",2021,2,"india",354464
"45",2021,2,"texas",287745
"46",2021,3,"us",1186916
"47",2021,3,"uk",953275
"48",2021,3,"texas",810592
"49",2021,3,"china",482289
"50",2021,3,"india",366396
"51",2021,4,"india",3586336
"52",2021,4,"us",1197468
"53",2021,4,"delhi",770806
"54",2021,4,"uk",744610
"55",2021,4,"covid",564285
"56",2021,5,"india",3876696
"57",2021,5,"us",1098043
"58",2021,5,"uk",828132
"59",2021,5,"china",673819
"60",2021,5,"covid",432068
"61",2021,6,"india",1208661
"62",2021,6,"us",1013809
"63",2021,6,"uk",912368
"64",2021,6,"china",761255
"65",2021,6,"wuhan",448809
"66",2021,7,"us",1123260
"67",2021,7,"uk",984375
"68",2021,7,"covid",649085
"69",2021,7,"myanmar",476394
"70",2021,7,"india",404746
"71",2021,8,"florida",1920110
"72",2021,8,"us",1602188
"73",2021,8,"covid",893079
"74",2021,8,"texas",806978
"75",2021,8,"afghanistan",382212
"76",2021,9,"us",1117980
"77",2021,9,"covid",804241
"78",2021,9,"florida",679583
"79",2021,9,"uk",627119
"80",2021,9,"texas",388195
"81",2021,10,"uk",845971
"82",2021,10,"us",773202
"83",2021,10,"covid",600871
"84",2021,10,"florida",328663
"85",2021,10,"india",208797
"86",2021,11,"us",850495
"87",2021,11,"uk",697900
"88",2021,11,"covid",453445
"89",2021,11,"south africa",378140
"90",2021,11,"austria",360011
"91",2021,12,"us",355701
"92",2021,12,"uk",232264
"93",2021,12,"south africa",223735
"94",2021,12,"covid",145502
"95",2021,12,"germany",92817
