"","Year","Month","Text","Count"
"1",2020,1,"chinese",64841
"2",2020,1,"coronavirus",45638
"3",2020,1,"asian",34381
"4",2020,1,"italian",24281
"5",2020,1,"americans",13116
"6",2020,2,"coronavirus",366794
"7",2020,2,"democrats",90790
"8",2020,2,"americans",67294
"9",2020,2,"chinese",46323
"10",2020,2,"american",32624
"11",2020,4,"covid-19",74781
"12",2020,4,"coronavirus",51009
"13",2020,4,"americans",29951
"14",2020,4,"covid19",17328
"15",2020,4,"chinese",16494
"16",2020,7,"covid-19",92036
"17",2020,7,"americans",52278
"18",2020,7,"coronavirus",48193
"19",2020,7,"ci",36370
"20",2020,7,"chinese",30551
"21",2020,8,"covid-19",57689
"22",2020,8,"americans",41508
"23",2020,8,"democrat",21615
"24",2020,8,"republicans",21159
"25",2020,8,"covid",19128
"26",2020,9,"chinese",184699
"27",2020,9,"covid-19",168200
"28",2020,9,"americans",135731
"29",2020,9,"covid",77232
"30",2020,9,"coronavirus",34812
"31",2020,12,"covid-19",1006315
"32",2020,12,"covid",852812
"33",2020,12,"americans",829902
"34",2020,12,"american",267001
"35",2020,12,"republicans",239430
"36",2021,1,"covid-19",2246015
"37",2021,1,"covid",1229499
"38",2021,1,"americans",878947
"39",2021,1,"covid19",544381
"40",2021,1,"republicans",178449
"41",2021,2,"covid-19",1478263
"42",2021,2,"covid",1212911
"43",2021,2,"americans",721734
"44",2021,2,"republicans",392295
"45",2021,2,"covid19",295984
"46",2021,3,"covid-19",2075994
"47",2021,3,"covid",1632125
"48",2021,3,"americans",780465
"49",2021,3,"republicans",622774
"50",2021,3,"covid19",276596
"51",2021,4,"covid-19",1910637
"52",2021,4,"covid",1887341
"53",2021,4,"covid19",801405
"54",2021,4,"indian",383586
"55",2021,4,"americans",240816
"56",2021,5,"covid-19",1918103
"57",2021,5,"covid",1845741
"58",2021,5,"covid19",889058
"59",2021,5,"indian",667799
"60",2021,5,"chinese",283619
"61",2021,6,"covid",1315229
"62",2021,6,"covid-19",1307675
"63",2021,6,"covid19",581021
"64",2021,6,"americans",229913
"65",2021,6,"chinese",171059
"66",2021,7,"covid",2171434
"67",2021,7,"covid-19",1793884
"68",2021,7,"covid19",695602
"69",2021,7,"americans",500500
"70",2021,7,"olympics",120454
"71",2021,8,"covid",2804805
"72",2021,8,"covid-19",2041780
"73",2021,8,"americans",682626
"74",2021,8,"covid19",543885
"75",2021,8,"republican",270464
"76",2021,9,"covid",2050267
"77",2021,9,"covid-19",1451335
"78",2021,9,"americans",648443
"79",2021,9,"covid19",394583
"80",2021,9,"american",135910
"81",2021,10,"covid",1401697
"82",2021,10,"covid-19",973653
"83",2021,10,"americans",275589
"84",2021,10,"covid19",226543
"85",2021,10,"american",74601
"86",2021,11,"covid",1565938
"87",2021,11,"covid-19",982945
"88",2021,11,"omicron",324736
"89",2021,11,"covid19",316601
"90",2021,11,"americans",277167
"91",2021,12,"covid",1297322
"92",2021,12,"omicron",738561
"93",2021,12,"covid-19",681182
"94",2021,12,"americans",177130
"95",2021,12,"african",66089
