"","Year","Month","Text","Count"
"1",2020,1,"british airways",14527
"2",2020,1,"cdc",12044
"3",2020,1,"huawei",6192
"4",2020,1,"super junior",4573
"5",2020,1,"senate",4303
"6",2020,2,"cdc",85263
"7",2020,2,"trump",21850
"8",2020,2,"cnn",10748
"9",2020,2,"fox news",10374
"10",2020,2,"bts",9398
"11",2020,4,"nhs",9500
"12",2020,4,"cdc",8326
"13",2020,4,"trump",8145
"14",2020,4,"mask america",6120
"15",2020,4,"rbi",4841
"16",2020,7,"cdc",261349
"17",2020,7,"trump administration",37945
"18",2020,7,"trump",23295
"19",2020,7,"covid",16382
"20",2020,7,"congress",10660
"21",2020,8,"cdc",19386
"22",2020,8,"china virus",16527
"23",2020,8,"radical left democrats",16494
"24",2020,8,"trump",9165
"25",2020,8,"chinavirus",7957
"26",2020,9,"cdc",114363
"27",2020,9,"trump",25153
"28",2020,9,"migos",22410
"29",2020,9,"cnn",22042
"30",2020,9,"abc",21867
"31",2020,12,"congress",473195
"32",2020,12,"cdc",242584
"33",2020,12,"senate",202975
"34",2020,12,"nhs",74277
"35",2020,12,"house",63650
"36",2021,1,"nhs",468408
"37",2021,1,"cdc",292347
"38",2021,1,"pfizer",256438
"39",2021,1,"covid",222963
"40",2021,1,"eu",207255
"41",2021,2,"cdc",663765
"42",2021,2,"senate",336179
"43",2021,2,"covid",198546
"44",2021,2,"nhs",190351
"45",2021,2,"pfizer",180168
"46",2021,3,"cdc",939902
"47",2021,3,"senate",436581
"48",2021,3,"eu",248949
"49",2021,3,"astrazeneca",222893
"50",2021,3,"nhs",155223
"51",2021,4,"covid",984893
"52",2021,4,"cdc",892005
"53",2021,4,"pfizer",315967
"54",2021,4,"covid19",155262
"55",2021,4,"astrazeneca",125378
"56",2021,5,"cdc",2045240
"57",2021,5,"covid",1033890
"58",2021,5,"pfizer",354269
"59",2021,5,"bjp",286746
"60",2021,5,"congress",131137
"61",2021,6,"covid",808971
"62",2021,6,"cdc",625728
"63",2021,6,"pfizer",228969
"64",2021,6,"delta",152901
"65",2021,6,"ccp",93974
"66",2021,7,"cdc",1617591
"67",2021,7,"covid",1068278
"68",2021,7,"delta",302536
"69",2021,7,"pfizer",294891
"70",2021,7,"sac",169236
"71",2021,8,"cdc",1809864
"72",2021,8,"covid",1737925
"73",2021,8,"fda",692935
"74",2021,8,"delta",376217
"75",2021,8,"pfizer",308218
"76",2021,9,"covid",1244800
"77",2021,9,"cdc",998922
"78",2021,9,"pfizer",426249
"79",2021,9,"fda",277582
"80",2021,9,"icu",131420
"81",2021,10,"covid",773910
"82",2021,10,"cdc",529579
"83",2021,10,"fda",297530
"84",2021,10,"pfizer",288675
"85",2021,10,"nih",120926
"86",2021,11,"covid",926557
"87",2021,11,"cdc",740881
"88",2021,11,"pfizer",548715
"89",2021,11,"omicron",420764
"90",2021,11,"fda",177708
"91",2021,12,"omicron",1738187
"92",2021,12,"covid",691457
"93",2021,12,"pfizer",447296
"94",2021,12,"cdc",251301
"95",2021,12,"nhs",90662
