"","Year","Month","Text","Count"
"1",2020,1,"trump",17138
"2",2020,1,"ivanka trump",4250
"3",2020,1,"god",3649
"4",2020,1,"charles lieber",2898
"5",2020,1,"obama",2816
"6",2020,2,"trump",305605
"7",2020,2,"mike pence",25703
"8",2020,2,"lewis",23978
"9",2020,2,"donald trump",16482
"10",2020,2,"anthony fauci",14583
"11",2020,4,"trump",77290
"12",2020,4,"obama",15116
"13",2020,4,"fauci",12419
"14",2020,4,"donald trump",9640
"15",2020,4,"god",8719
"16",2020,7,"trump",123099
"17",2020,7,"bozo",36420
"18",2020,7,"covid",27607
"19",2020,7,"johnson",22498
"20",2020,7,"fauci",22022
"21",2020,8,"trump",71231
"22",2020,8,"shay",36680
"23",2020,8,"pelosi",27029
"24",2020,8,"covid",24304
"25",2020,8,"schumer",20861
"26",2020,9,"trump",468648
"27",2020,9,"covid",75654
"28",2020,9,"biden",73399
"29",2020,9,"donald trump",71219
"30",2020,9,"li-meng yan",69045
"31",2020,12,"trump",1336179
"32",2020,12,"covid",571584
"33",2020,12,"biden",304200
"34",2020,12,"mitch mcconnell",135813
"35",2020,12,"marco rubio",130844
"36",2021,1,"biden",1815328
"37",2021,1,"trump",1225612
"38",2021,1,"covid",961047
"39",2021,1,"joe biden",444418
"40",2021,1,"boris johnson",185577
"41",2021,2,"biden",1394302
"42",2021,2,"trump",533229
"43",2021,2,"covid",438261
"44",2021,2,"cuomo",184072
"45",2021,2,"joe biden",114615
"46",2021,3,"biden",1647250
"47",2021,3,"trump",754823
"48",2021,3,"covid",590312
"49",2021,3,"joe biden",148859
"50",2021,3,"fauci",138738
"51",2021,4,"covid",1053505
"52",2021,4,"biden",443875
"53",2021,4,"modi",381001
"54",2021,4,"fauci",181950
"55",2021,4,"trump",121861
"56",2021,5,"covid",1027436
"57",2021,5,"biden",543398
"58",2021,5,"fauci",486433
"59",2021,5,"modi",396369
"60",2021,5,"trump",196276
"61",2021,6,"covid",804211
"62",2021,6,"fauci",689120
"63",2021,6,"biden",348575
"64",2021,6,"trump",333208
"65",2021,6,"matt hancock",143883
"66",2021,7,"covid",1403178
"67",2021,7,"biden",678379
"68",2021,7,"fauci",299830
"69",2021,7,"boris johnson",186223
"70",2021,7,"trump",149650
"71",2021,8,"covid",1834234
"72",2021,8,"biden",986467
"73",2021,8,"ron desantis",339953
"74",2021,8,"desantis",301939
"75",2021,8,"greg abbott",230135
"76",2021,9,"covid",1438479
"77",2021,9,"biden",939103
"78",2021,9,"fauci",336907
"79",2021,9,"joe rogan",203343
"80",2021,9,"joe biden",123956
"81",2021,10,"covid",961960
"82",2021,10,"biden",425079
"83",2021,10,"fauci",238587
"84",2021,10,"colin powell",220305
"85",2021,10,"lisa",50213
"86",2021,11,"biden",937701
"87",2021,11,"covid",913748
"88",2021,11,"aaron rodgers",281265
"89",2021,11,"fauci",235787
"90",2021,11,"trump",117484
"91",2021,12,"covid",434681
"92",2021,12,"biden",428595
"93",2021,12,"trump",213742
"94",2021,12,"fauci",102481
"95",2021,12,"boris johnson",75424
