Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1389088906033967104,beatrizandrino,4,18,PER,0.9993
1389088906033967104,rona,38,42,PER,0.9998
1389091206261616642,beatrizandrino,4,18,PER,0.9993
1389091206261616642,rona,38,42,PER,0.9998
1389082290622550018,ven911oficial,0,13,MISC,0.999
1389082290622550018,covid19,213,220,MISC,0.9989
1389082290907754496,covid19 calico taxislibreslos4,134,164,MISC,0.9994
1389082292338020352,saúl huerta corona,60,78,PER,0.9999
1389082292338020352,puebla,89,95,LOC,1.0
1389082292568608770,mabelpajarita,4,17,PER,0.9995
1389082303838699524,randinaylosastr,4,19,PER,0.9993
1389082303838699524,marlon,48,54,PER,0.999
1389082303838699524,"""medico""",106,113,MISC,0.8558
1389082336487256065,cirogomezl,4,14,PER,0.9998
1389082336487256065,julio arturo montaño lechuga,36,64,PER,0.9999
1389082336487256065,covid19,88,95,MISC,0.9998
1389082345886650370,miami,22,27,LOC,1.0
1389082345886650370,covid,70,75,PER,0.7673
1389082348151521280,abiifunes2,4,14,PER,0.9392
1389082349795639302,varna hotel,49,60,LOC,0.8685
1389082350110261251,covid-19,25,33,MISC,0.9999
1389082350215213056,castillo,38,46,PER,0.9998
1389082350215213056,lima,177,181,LOC,0.9999
1389082350215213056,coronavirus,241,252,MISC,1.0
1389082352278773763,elpitazotv,4,14,ORG,0.9996
1389082352278773763,serviciopúblico,16,31,MISC,0.5445
1389082352278773763,vanessa luna,34,46,PER,0.9999
1389082352278773763,covid-19,66,74,MISC,0.9997
1389082355005104131,ssalud,4,10,ORG,0.9992
1389082355005104131,covid19,86,93,MISC,0.9998
1389082356326313985,albertologos,1,13,PER,0.7573
1389082356326313985,drgiammattei,15,27,PER,0.9847
1389082357949509632,somossarcasmo,4,17,ORG,0.8748
1389082357949509632,covid,40,45,PER,0.9999
1389082363355860993,chupamelamueca,4,18,PER,0.9829
1389082363355860993,esmad,23,28,ORG,1.0
1389082363355860993,tolima,75,81,LOC,0.9992
1389082363355860993,covid,125,130,MISC,0.9997
1389082369882214404,todonoticias,4,16,ORG,0.9963
1389082369882214404,argentina,33,42,LOC,0.9996
1389082369882214404,coronavirus,76,87,MISC,0.9252
1389082369882214404,ministerio de salud,95,114,ORG,0.9999
1389082376358223874,giammattei,40,50,PER,0.9999
1389082376358223874,europa,61,67,LOC,0.9999
1389082376358223874,ivermectina,93,104,MISC,0.9996
1389082379847880708,pedrograndezc,4,17,PER,0.9984
1389082379847880708,estado,80,86,ORG,0.9999
1389082381198430209,selenat0rsarmy,4,18,MISC,0.4234
1389082381198430209,selena gomez,20,32,PER,0.9991
1389082381198430209,vaxlive,68,75,ORG,0.9999
1389082381198430209,covid-19,127,135,MISC,0.9999
1389082382549098496,covid 19,33,41,MISC,0.9882
1389082382549098496,armelleid,84,93,ORG,0.9989
1389082383639621638,nuevecuatrouno,4,18,ORG,0.996
1389082383639621638,ayuntamiento,23,35,ORG,0.9999
1389082383639621638,sagasta,60,67,LOC,0.9999
1389082391617081346,el,4,6,ORG,0.9991
1389082391617081346,willywonka,7,17,PER,0.642
1389082391617081346,covid,23,28,PER,0.9953
1389082391617081346,colombia,56,64,LOC,0.9992
1389082397321449473,javiermmoure,4,16,PER,0.9998
1389082397321449473,oms,21,24,ORG,0.9996
1389082397321449473,italia,78,84,LOC,0.8793
1389082397413683202,cirogomezl,4,14,PER,0.9995
1389082397413683202,covid19,73,80,MISC,0.9999
1389082397413683202,amnistía internacional,114,136,ORG,1.0
1389082398080569345,covid19,75,82,MISC,0.9999
1389082399099834370,pbi,63,66,MISC,0.9996
1389082399099834370,covid19,155,162,MISC,0.9999
1389082399343095812,irvinggatell,4,16,PER,0.9996
1389082399485607937,claudia malparida,65,82,PER,0.9928
