"","Year","Month","Day","Text","Count"
"1",2020,2,12,"china",4706
"2",2020,2,12,"oms",3167
"3",2020,2,12,"hdez",2184
"4",2020,2,12,"kma",1641
"5",2020,2,12,"sony",1195
"6",2020,2,28,"noestoyperdon",4709
"7",2020,2,28,"espanabizarra",2421
"8",2020,2,28,"oms",2142
"9",2020,2,28,"imss",1994
"10",2020,2,28,"jmtoya",1887
"11",2020,2,29,"imss",1811
"12",2020,2,29,"noestoyperdon",1714
"13",2020,2,29,"china",1679
"14",2020,2,29,"oms",1546
"15",2020,2,29,"chaira",1098
"16",2020,4,22,"gobierno",9444
"17",2020,4,22,"oms",7319
"18",2020,4,22,"ginesggarcia",6608
"19",2020,4,22,"anlis",6140
"20",2020,4,22,"imss",5047
"21",2020,5,11,"gobierno",7658
"22",2020,5,11,"sanbenito",7586
"23",2020,5,11,"oms",4688
"24",2020,5,11,"cnnee",3633
"25",2020,5,11,"avianca",3124
"26",2020,5,14,"gobierno",8658
"27",2020,5,14,"oms",7268
"28",2020,5,14,"cnnee",4878
"29",2020,5,14,"china",4098
"30",2020,5,14,"covid",2747
"31",2020,5,27,"gobierno",16099
"32",2020,5,27,"guardia civil",11756
"33",2020,5,27,"oms",4589
"34",2020,5,27,"eldiarioes",4062
"35",2020,5,27,"covid",3487
"36",2020,6,1,"anonymous",11220
"37",2020,6,1,"gobierno",11059
"38",2020,6,1,"m4neugly",7667
"39",2020,6,1,"casa blanca",5413
"40",2020,6,1,"gerardotc",5259
"41",2020,6,9,"oms",20054
"42",2020,6,9,"gobierno",11468
"43",2020,6,9,"ricarospina",8254
"44",2020,6,9,"españa",4084
"45",2020,6,9,"hlgatell",3927
"46",2020,6,17,"gobierno",8098
"47",2020,6,17,"oms",7488
"48",2020,6,17,"covid",5985
"49",2020,6,17,"latam",4982
"50",2020,6,17,"china",4792
"51",2020,7,17,"covid",6248
"52",2020,7,17,"gobierno",5067
"53",2020,7,17,"estado",4965
"54",2020,7,17,"sinescritoss",3780
"55",2020,7,17,"adidas",3504
"56",2020,8,18,"covid",7189
"57",2020,8,18,"mippcivzla",7065
"58",2020,8,18,"gnb",6588
"59",2020,8,18,"gobierno",5803
"60",2020,8,18,"oms",5532
"61",2020,8,28,"covid",6740
"62",2020,8,28,"mippcivzla",6112
"63",2020,8,28,"gobierno",5678
"64",2020,8,28,"gnb",5426
"65",2020,8,28,"oms",3567
"66",2020,9,13,"mippcivzla",15068
"67",2020,9,13,"gobierno",5427
"68",2020,9,13,"vtvcanal8",5330
"69",2020,9,13,"covid",5015
"70",2020,9,13,"oms",4007
"71",2020,9,15,"mippcivzla",10050
"72",2020,9,15,"gobierno",7842
"73",2020,9,15,"fiscalía",7287
"74",2020,9,15,"covid",6310
"75",2020,9,15,"hlgatell",5495
"76",2020,9,18,"gobierno",13149
"77",2020,9,18,"covid",6948
"78",2020,9,18,"gnb",4363
"79",2020,9,18,"oms",4208
"80",2020,9,18,"mippcivzla",3661
"81",2020,9,21,"gobierno",7581
"82",2020,9,21,"covid",7236
"83",2020,9,21,"mippcivzla",5304
"84",2020,9,21,"vtvcanal8",5060
"85",2020,9,21,"cdc",5028
"86",2020,9,22,"onu",9394
"87",2020,9,22,"bts",6591
"88",2020,9,22,"china",6094
"89",2020,9,22,"covid",6024
"90",2020,9,22,"gobierno",5011
"91",2020,9,24,"onu",6797
"92",2020,9,24,"venezuela",6323
"93",2020,9,24,"covid",6106
"94",2020,9,24,"mippcivzla",5787
"95",2020,9,24,"gobierno",5547
"96",2020,9,27,"gobierno",15908
"97",2020,9,27,"anvac",14618
"98",2020,9,27,"mippcivzla",10117
"99",2020,9,27,"asociación nacional de víctimas y afectados por coronavirus",9132
"100",2020,9,27,"alvisepf",8773
"101",2020,10,21,"gobierno",5841
"102",2020,10,21,"vox",5261
"103",2020,10,21,"covid",4639
"104",2020,10,21,"mippcivzla",4543
"105",2020,10,21,"astrazeneca",4357
"106",2020,11,12,"mippcivzla",6537
"107",2020,11,12,"pfizer",5127
"108",2020,11,12,"gobierno",4476
"109",2020,11,12,"gnb",3433
"110",2020,11,12,"covid",3340
"111",2020,11,22,"mippcivzla",9088
"112",2020,11,22,"covid",3809
"113",2020,11,22,"gobierno",3011
"114",2020,11,22,"vtvcanal8",2857
"115",2020,11,22,"envivo",2675
"116",2020,12,20,"reino unido",17194
"117",2020,12,20,"mippcivzla",14541
"118",2020,12,20,"alertanews24",8692
"119",2020,12,20,"bélgica",7742
"120",2020,12,20,"italia",6795
"121",2020,12,21,"mippcivzla",22760
"122",2020,12,21,"reino unido",15603
"123",2020,12,21,"gobierno",13452
"124",2020,12,21,"pfizer",8330
"125",2020,12,21,"vtvcanal8",7652
"126",2020,12,22,"mippcivzla",19702
"127",2020,12,22,"pfizer",7188
"128",2020,12,22,"gobierno",5930
"129",2020,12,22,"hlgatell",5644
"130",2020,12,22,"méxico",5267
"131",2020,12,23,"mippcivzla",22288
"132",2020,12,23,"pfizer",11298
"133",2020,12,23,"república popular china",6535
"134",2020,12,23,"reino unido",6010
"135",2020,12,23,"hlgatell",5529
"136",2020,12,24,"mippcivzla",20091
"137",2020,12,24,"auronplay",8858
"138",2020,12,24,"pfizer",8604
"139",2020,12,24,"hlgatell",6345
"140",2020,12,24,"vtvcanal8",5073
"141",2020,12,25,"mippcivzla",12855
"142",2020,12,25,"andromedajoy",9010
"143",2020,12,25,"conelmazodando",5579
"144",2020,12,25,"vtvcanal8",4373
"145",2020,12,25,"oms",3870
"146",2020,12,26,"mippcivzla",12299
"147",2020,12,26,"andromedajoy",11632
"148",2020,12,26,"pfizer",8981
"149",2020,12,26,"conelmazodando",8266
"150",2020,12,26,"gobierno",7416
"151",2020,12,27,"gobierno",36103
"152",2020,12,27,"mippcivzla",33003
"153",2020,12,27,"rtve",10246
"154",2020,12,27,"conelmazodando",9791
"155",2020,12,27,"vtvcanal8",9774
"156",2020,12,28,"mippcivzla",27721
"157",2020,12,28,"gobierno",13307
"158",2020,12,28,"vtvcanal8",9119
"159",2020,12,28,"china",6786
"160",2020,12,28,"conelmazodando",5966
"161",2020,12,29,"mippcivzla",19900
"162",2020,12,29,"gobierno",8673
"163",2020,12,29,"covid",4670
"164",2020,12,29,"venezuela",4655
"165",2020,12,29,"conelmazodando",4605
"166",2020,12,30,"venezuela",17474
"167",2020,12,30,"rusia",16534
"168",2020,12,30,"mippcivzla",14379
"169",2020,12,30,"sputnikvparaelpueblo",9738
"170",2020,12,30,"carnetdlapatria",6064
"171",2021,1,1,"imss",9985
"172",2021,1,1,"mippcivzla",7665
"173",2021,1,1,"auronplay",7035
"174",2021,1,1,"vtvcanal8",4893
"175",2021,1,1,"covid",4642
"176",2021,1,2,"vtvcanal8",15200
"177",2021,1,2,"covid",10910
