"","Year","Month","Text","Count"
"1",2020,2,"oms",6855
"2",2020,2,"noestoyperdon",6423
"3",2020,2,"china",6385
"4",2020,2,"imss",3805
"5",2020,2,"espanabizarra",2421
"6",2020,4,"gobierno",9444
"7",2020,4,"oms",7319
"8",2020,4,"ginesggarcia",6608
"9",2020,4,"anlis",6140
"10",2020,4,"imss",5047
"11",2020,5,"gobierno",32415
"12",2020,5,"oms",16545
"13",2020,5,"guardia civil",11756
"14",2020,5,"cnnee",8511
"15",2020,5,"sanbenito",7586
"16",2020,6,"gobierno",30625
"17",2020,6,"oms",27542
"18",2020,6,"anonymous",11220
"19",2020,6,"ricarospina",8254
"20",2020,6,"m4neugly",7667
"21",2020,7,"covid",6248
"22",2020,7,"gobierno",5067
"23",2020,7,"estado",4965
"24",2020,7,"sinescritoss",3780
"25",2020,7,"adidas",3504
"26",2020,8,"covid",13929
"27",2020,8,"mippcivzla",13177
"28",2020,8,"gnb",12014
"29",2020,8,"gobierno",11481
"30",2020,8,"oms",9099
"31",2020,9,"gobierno",60465
"32",2020,9,"mippcivzla",49987
"33",2020,9,"covid",37639
"34",2020,9,"onu",16191
"35",2020,9,"anvac",14618
"36",2020,10,"gobierno",5841
"37",2020,10,"vox",5261
"38",2020,10,"covid",4639
"39",2020,10,"mippcivzla",4543
"40",2020,10,"astrazeneca",4357
"41",2020,11,"mippcivzla",15625
"42",2020,11,"gobierno",7487
"43",2020,11,"covid",7149
"44",2020,11,"pfizer",5127
"45",2020,11,"gnb",3433
"46",2020,12,"mippcivzla",367686
"47",2020,12,"gobierno",135768
"48",2020,12,"pfizer",104677
"49",2020,12,"vtvcanal8",66489
"50",2020,12,"reino unido",38807
"51",2021,1,"mippcivzla",607647
"52",2021,1,"vtvcanal8",364873
"53",2021,1,"covid",207008
"54",2021,1,"gobierno",83961
"55",2021,1,"venezuela",64533
"56",2021,2,"mippcivzla",435091
"57",2021,2,"vtvcanal8",214932
"58",2021,2,"oms",125647
"59",2021,2,"covid",100420
"60",2021,2,"hlgatell",80076
"61",2021,3,"mippcivzla",762952
"62",2021,3,"vtvcanal8",497084
"63",2021,3,"covid",108624
"64",2021,3,"gnb",93977
"65",2021,3,"gobierno",70183
"66",2021,4,"mippcivzla",941378
"67",2021,4,"vtvcanal8",577848
"68",2021,4,"covid",238028
"69",2021,4,"venezuela",98053
"70",2021,4,"conelmazodando",58773
"71",2021,5,"covid",146425
"72",2021,5,"mippcivzla",126573
"73",2021,5,"vtvcanal8",57460
"74",2021,5,"river",55532
"75",2021,5,"gobierno",49530
"76",2021,6,"covid",134143
"77",2021,6,"pfizer",69519
"78",2021,6,"hlgatell",58591
"79",2021,6,"gobierno",40170
"80",2021,6,"eeuu",28355
"81",2021,7,"covid",126700
"82",2021,7,"pfizer",48676
"83",2021,7,"gobierno",41192
"84",2021,7,"uci",39125
"85",2021,7,"oms",30615
"86",2021,8,"covid",102535
"87",2021,8,"hlgatell",36582
"88",2021,8,"pfizer",31093
"89",2021,8,"fda",22095
"90",2021,8,"vtvcanal8",21536
"91",2021,9,"covid",93780
"92",2021,9,"cdc",63457
"93",2021,9,"hlgatell",31314
"94",2021,9,"vtvcanal8",29901
"95",2021,9,"pfizer",26716
"96",2021,10,"covid",77867
"97",2021,10,"oms",29399
"98",2021,10,"pfizer",27235
"99",2021,10,"vtvcanal8",27154
"100",2021,10,"mippcivzla",21396
"101",2021,11,"oms",92516
"102",2021,11,"corona",68302
"103",2021,11,"alertanews24",58006
"104",2021,11,"pfizer",55763
"105",2021,11,"gobierno ayuso",40891
"106",2021,12,"gobierno ayuso",34960
"107",2021,12,"alertanews24",22814
"108",2021,12,"oms",20364
"109",2021,12,"pfizer",13256
"110",2021,12,"covid",10967
