"","Year","Month","Text","Count"
"1",2020,2,"pauletta",7520
"2",2020,2,"lopezobrador",2793
"3",2020,2,"leonor",2428
"4",2020,2,"amlo",2290
"5",2020,2,"eileenornot",2236
"6",2020,4,"alfredodelmazo",8677
"7",2020,4,"malbran",6050
"8",2020,4,"bill gates",4102
"9",2020,4,"pablo casado",3948
"10",2020,4,"casado",3523
"11",2020,5,"covid",11850
"12",2020,5,"serranoismael",10388
"13",2020,5,"alfredodelmazo",9964
"14",2020,5,"nicolasmaduro",6463
"15",2020,5,"idiazayuso",4576
"16",2020,6,"irene montero",33370
"17",2020,6,"covid",24520
"18",2020,6,"vidal",14507
"19",2020,6,"lopezobrador",9245
"20",2020,6,"josé julián buelvas",9002
"21",2020,7,"fernanmarmol",13320
"22",2020,7,"aaleessaandraaa",11087
"23",2020,7,"covid",10820
"24",2020,7,"sergioramos",3992
"25",2020,7,"debbymmorales",3451
"26",2020,8,"covid",21387
"27",2020,8,"dr_calleja",14540
"28",2020,8,"nicolasmaduro",9127
"29",2020,8,"maribelskies",6091
"30",2020,8,"soyalbertosamid",5381
"31",2020,9,"covid",75393
"32",2020,9,"nicolasmaduro",55620
"33",2020,9,"ayuso",28533
"34",2020,9,"covid19",7915
"35",2020,9,"agusdiazdsa",7462
"36",2020,10,"candemoran123",9690
"37",2020,10,"covid",8490
"38",2020,10,"ibaillanos",2905
"39",2020,10,"trump",2890
"40",2020,10,"abascal",2590
"41",2020,11,"covid",14791
"42",2020,11,"nicolasmaduro",12610
"43",2020,11,"ivanarriola17",9695
"44",2020,11,"mippcivzla",7977
"45",2020,11,"ivan196302",7184
"46",2020,12,"covid",103913
"47",2020,12,"nicolasmaduro",92983
"48",2020,12,"mippcivzla",56873
"49",2020,12,"armando manzanero",30435
"50",2020,12,"alvaradoc",23665
"51",2021,1,"covid",471356
"52",2021,1,"nicolasmaduro",356101
"53",2021,1,"mippcivzla",154535
"54",2021,1,"lopezobrador",66552
"55",2021,1,"amlo",60808
"56",2021,2,"covid",267657
"57",2021,2,"nicolasmaduro",241461
"58",2021,2,"mippcivzla",104536
"59",2021,2,"lopezobrador",53059
"60",2021,2,"ibaillanos",34361
"61",2021,3,"nicolasmaduro",504457
"62",2021,3,"covid",363827
"63",2021,3,"mippcivzla",324999
"64",2021,3,"alfredodelmazo",40268
"65",2021,3,"maduro",35384
"66",2021,4,"nicolasmaduro",474447
"67",2021,4,"covid",462814
"68",2021,4,"mippcivzla",374734
"69",2021,4,"alberto fernández",32656
"70",2021,4,"alicia53532006",23160
"71",2021,5,"covid",338293
"72",2021,5,"nicolasmaduro",79030
"73",2021,5,"mippcivzla",52734
"74",2021,5,"andrea meza",21938
"75",2021,5,"roña castro",13920
"76",2021,6,"covid",273423
"77",2021,6,"robertogarrdner",34627
"78",2021,6,"felipecalderon",28380
"79",2021,6,"raquelstrr",22974
"80",2021,6,"lucigoddoy",18955
"81",2021,7,"covid",267243
"82",2021,7,"diazcanelb",25451
"83",2021,7,"lopezobrador",25193
"84",2021,7,"nicolasmaduro",23321
"85",2021,7,"petrogustavo",20369
"86",2021,8,"covid",197564
"87",2021,8,"lopezobrador",24062
"88",2021,8,"fidel",22364
"89",2021,8,"drpacomoreno1",19756
"90",2021,8,"santivallejos3",17132
"91",2021,9,"covid",180682
"92",2021,9,"joe rogan",21156
"93",2021,9,"lopezobrador",21110
"94",2021,9,"biden",17952
"95",2021,9,"corona",11107
"96",2021,10,"covid",110580
"97",2021,10,"nicolasmaduro",29060
"98",2021,10,"colin powell",21150
"99",2021,10,"baduel",19840
"100",2021,10,"bolsonaro",17993
"101",2021,11,"covid",125040
"102",2021,11,"boric",24825
"103",2021,11,"lopezobrador",18607
"104",2021,11,"fidel",18286
"105",2021,11,"nicolasmaduro",17844
"106",2021,12,"covid",106097
"107",2021,12,"boric",28856
"108",2021,12,"akinomemaquillo",24038
"109",2021,12,"yolanda díaz",22970
"110",2021,12,"frayjosepho",15522
